,ticker,name,industry,sub-industry,date_added,cik,found_year
309,MET,MetLife,Financials,Life & Health Insurance,,1099219,1868
310,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,2016-09-06,1037646,1945
311,MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,2017-07-26,789570,1986
312,MCHP,Microchip Technology,Information Technology,Semiconductors,2007-09-07,827054,1989
313,MU,Micron Technology,Information Technology,Semiconductors,1994-09-27,723125,1978
314,MSFT,Microsoft,Information Technology,Systems Software,1994-06-01,789019,1975
315,MAA,Mid-America Apartment Communities,Real Estate,Residential REITs,2016-12-02,912595,1977
316,MRNA,Moderna,Health Care,Biotechnology,2021-07-21,1682852,2010
317,MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,2013-12-23,851968,1878
318,MOH,Molina Healthcare,Health Care,Managed Health Care,2022-03-02,1179929,1980
319,TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,1976-06-30,24545,"2005 (Molson 1786, Coors 1873)"
320,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,2012-10-02,1103982,2012
321,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2021-02-12,1280452,1997
322,MNST,Monster Beverage,Consumer Staples,Soft Drinks,2012-06-28,865752,2012 (1935)
323,MCO,Moody's Corporation,Financials,Financial Exchanges & Data,,1059556,1909
324,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,,895421,1935
325,MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,2011-09-26,1285785,2004 (1865 / 1909)
326,MSI,Motorola Solutions,Information Technology,Communications Equipment,,68505,1928 (2011)
327,MSCI,MSCI,Financials,Financial Exchanges & Data,2018-04-04,1408198,1969
328,NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,2008-10-22,1120193,1971
329,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",1999-06-25,1002047,1992
330,NFLX,Netflix,Communication Services,Movies & Entertainment,2010-12-20,1065280,1997
331,NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,1989-04-30,814453,1903
332,NEM,Newmont,Materials,Gold,1969-06-30,1164727,1921
333,NWSA,News Corp (Class A),Communication Services,Publishing,2013-08-01,1564708,2013 (1980)
334,NWS,News Corp (Class B),Communication Services,Publishing,2015-09-18,1564708,2013 (1980)
335,NEE,NextEra Energy,Utilities,Multi-Utilities,1976-06-30,753308,1984 (1925)
336,NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,2013-07-09,1492633,1923
337,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1988-11-30,320187,1964
338,NI,NiSource,Utilities,Multi-Utilities,,1111711,1912
339,NDSN,Nordson Corporation,Industrials,Industrial Machinery,2022-02-15,72331,1935
340,NSC,Norfolk Southern Railway,Industrials,Railroads,1957-03-04,702165,1881/1894 (1980)
341,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,,73124,1889
342,NOC,Northrop Grumman,Industrials,Aerospace & Defense,1985-06-30,1133421,"1994 (Northrop 1939, Grumman 1930)"
